PLATEIFU,Re_kpc,SNR_HI,kappa,kappa_statErr,af,af_statErr,cv,cv_statErr,Dn4000,M_all,class_mis,inclination,OBJRA,OBJDEC,nsa_iauname,Z,VOPT,SESSION,PEAK,FHI,EFHI,LOGMHI,VHI,EV,W50,conflag,conf_prob
8138-6102,3.3476991576345254,25.108285978627208,-0.06421586698204,0.0067401048131899,1.0533329019881772,0.0153599483811804,2.741363803083558,0.0695644494199391,1.6146210432052612,9.997642341719512,QS,53.36660961217036,117.144342496,44.6882851596,J074834.64+444117.8,0.0203541,6102.0,AGBT17A_012_20,0.010534443,2.194535,0.12988015,9.591396,6109.851,17.915508,336.71558,0,0.0
8137-3703,1.3242887472320448,7.396119621415239,0.071059196646757,0.0231711319351014,1.667732046985023,0.0957030024119102,4.269569838989017,0.6082343163842553,1.7650336027145386,10.161017430058326,QS,26.776753075231134,116.854914291,43.9186203408,J074725.18+435507.0,0.0317491,9518.1,AGBT17A_012_11,0.0061296476,0.43200004,0.06713139,9.266759,9501.65,7.29432,153.23653,0,0.0
8249-1901,1.6312542649005106,18.498694611605277,0.0750946822643826,0.0088896839774629,1.3582796540048991,0.0377525023552334,4.473684210526316,0.2855136028701914,1.3355735540390015,9.57564961475522,SF,58.51282569413336,137.219338724,44.9322670576,J090852.63+445556.1,0.0265684,7965.0,16A-29,0.0099720005,1.572,0.075211264,9.676406,7957.0,113.37,174.55193,0,0.0
8252-3704,2.9014615809365707,7.768657947993347,-0.0049646795778842,0.0386043175914797,1.0408987949308863,0.0625658544416642,3.023188913165677,0.3495359940780291,1.5205192565917969,10.184640334343406,SF,30.28749072171748,145.308121958,47.6885981864,J094113.94+474118.9,0.0467992,14030.0,AGBT17A_012_69,0.0065453937,0.43200004,0.071788765,9.606998,14103.64,23.37,138.47647,0,0.0
8329-1901,1.5955744056501302,15.635732575189492,-0.0431621968675025,0.0099404974792795,1.1205512587556958,0.0741955050097235,3.0638188420332635,0.1371558413515079,1.8214432001113892,9.997783359534473,QS,26.956619822640018,214.422103097,45.4658215702,J141741.30+452757.0,0.027447,8228.4,AGBT16A_095_48-AGBT17A_012_09,0.00704987,1.3024384,0.08776726,9.626445,8270.179,24.347155,239.09,0,0.0
8483-9101,4.327272657771666,9.630426420391052,0.0711733997686112,0.0123521343153233,1.217104172975261,0.08745291952384,4.767047949224376,0.2836221748334417,1.853567361831665,10.26375912097965,QS,36.00219487657654,245.662643292,47.1607564493,J162239.03+470938.7,0.0488676,14650.1,AGBT17A_012_100,0.004802537,0.6246817,0.1111945,9.800715,14667.94,70.82204,230.06902,1,0.019077806133932507
8483-1902,2.2372623189084546,5.140937105922205,0.0751425294457067,0.028571823265829,1.5701035426622767,0.2613632859151102,5.471559633027522,0.6148377629953314,1.8822903633117676,10.283405265960873,QS,30.80224485076092,248.018269901,47.7647576117,J163204.38+474553.1,0.0494351,14820.3,AGBT17A_012_100,0.004988885,0.25608972,0.088198654,9.4278145,14911.879,117.18107,36.583942,1,0.009268226274264157
7957-6102,3.0011706589707967,26.36367339848356,-0.0033221123111577,0.0033859293746187,1.2054031389433355,0.0248994456277532,3.477064220183486,0.0863803393327692,1.683531641960144,9.969858369034851,QS,71.0392380709598,258.271094875,35.2686155772,J171305.05+351607.0,0.0256566,7691.7,AGBT17A_012_18-AGBT17A_012_213,0.0084162215,1.4110433,0.080611646,9.587139,7593.525,23.094547,195.44011,0,0.0
8314-3702,2.550264151748053,7.582032164810846,0.0359109190411051,0.0339607049466221,1.5630969108242527,0.1981590478987622,4.419773163205738,0.7203262868056224,1.3661118745803833,9.905111259788315,SF,41.10568675399519,240.847729402,39.98574614,J160323.44+395908.7,0.0301584,9041.3,AGBT17A_012_330-AGBT17A_012_334,0.006347148,0.4093626,0.08375169,9.200144,9036.666,8.236853,114.554726,0,0.0
7960-3703,2.4726025128888947,11.408229692361788,0.0491850409363807,0.0099774508581644,1.0881050951786726,0.0950588383522291,4.351826283419103,0.1485488434180247,1.3802862167358398,9.533583967386882,SF,45.588077662421185,259.183519785,32.8062648984,J171644.03+324822.4,0.0405781,12165.0,AGBT17A_012_107,0.00793064,0.6660339,0.084223665,9.667357,12160.794,8.254259,105.58997,0,0.0
